$ paste ~/auto.a.txt ~/auto.b.txt | awk '{ print $1, $2, $4}'

autoajuda	ˌaʊtoaʒˈudɐ	ˌaʊtoˌaʒˈudɐ
autofinanciei	ˌaʊtofˌinɐ̃nsiʲˈeɪ	ˌaʊtofˌinɐ̃nsiʲˈeɪ
autofinancieis	ˌaʊtofˌinɐ̃nsiʲˈeɪs	ˌaʊtofˌinɐ̃nsiʲˈeɪs
autofinanciem	ˌaʊtofˌinɐ̃nsˈiʲeɪm	ˌaʊtofˌinɐ̃nsˈiʲeɪm
autofinanciemo	ˌaʊtofˌinɐ̃nsiʲˈemʊ	ˌaʊtofˌinɐ̃nsiʲˈemʊ
autofinanciemos	ˌaʊtofˌinɐ̃nsiʲˈemʊs	ˌaʊtofˌinɐ̃nsiʲˈemʊs
autofinancies	ˌaʊtofˌinɐ̃nsˈiʲɪs	ˌaʊtofˌinɐ̃nsˈiʲɪs
autofinancio	ˌaʊtofˌinɐ̃nsˈiʲʊ	ˌaʊtofˌinɐ̃nsˈiʲʊ
autofinanciou	ˌaʊtofˌinɐ̃nsiʲˈoʊ	ˌaʊtofˌinɐ̃nsiʲˈoʊ
autoflagelação	ˌaʊtoflˌaʒelasˈɐ̃ʊ̃	ˌaʊtoflˌaʒelasˈɐ̃ʊ̃
autoflagelações	ˌaʊtoflˌaʒelasˈõɪ̃s	ˌaʊtoflˌaʒelasˈõɪ̃s
autoformação	ˌaʊtofˌoɾmasˈɐ̃ʊ̃	ˌaʊtofˌoɾmasˈɐ̃ʊ̃
autoformações	ˌaʊtofˌoɾmasˈõɪ̃s	ˌaʊtofˌoɾmasˈõɪ̃s
autofotografia	ˌaʊtofˌotoɡɾafˈiʲɐ	ˌaʊtofˌotoɡɾafˈiʲɐ
autogamia	ˌaʊtoɡɐmˈiʲɐ	ˌaʊtoɡˌɐmˈiʲɐ
autogéneo	ˌaʊtoʒˈɛneʊ	ˌaʊtoʒˈɛneʊ
autogénese	ˌaʊtoʒˈɛnɛzɪ	ˌaʊtoʒˈɛnɛzɪ
autogenético	ˌaʊtoʒenˈɛtʃikʊ	ˌaʊtoʒˌenˈɛtʃikʊ
autogerida	ˌaʊtoʒeɾˈidɐ	ˌaʊtoʒˌeɾˈidɐ
autogeridas	ˌaʊtoʒeɾˈidɐs	ˌaʊtoʒˌeɾˈidɐs
autogestão	ˌaʊtoʒestˈɐ̃ʊ̃	ˌaʊtoʒestˈɐ̃ʊ̃
autogestões	ˌaʊtoʒestˈõɪ̃s	ˌaʊtoʒestˈõɪ̃s
autognose	ˌaʊtoɡnˈɔzɪ	ˌaʊtoɡnˈɔzɪ
autogolo	ˌaʊtoɡˈɔlʊ	ˌaʊtoɡˈɔlʊ
autogolos	ˌaʊtoɡˈɔlʊs	ˌaʊtoɡˈɔlʊs
autogoverno	ˌaʊtoɡovˈɛɾnʊ	ˌaʊtoɡˌovˈeɾnʊ
autogovernos	ˌaʊtoɡovˈɛɾnʊs	ˌaʊtoɡˌovˈeɾnʊs
autografa	ˌaʊtoɡɾˈafɐ	ˌaʊtoɡɾˈafɐ
autografá	ˌaʊtoɡɾafˈa	ˌaʊtoɡɾafˈa
autografada	ˌaʊtoɡɾafˈadɐ	ˌaʊtoɡɾˌafˈadɐ
autografadas	ˌaʊtoɡɾafˈadɐs	ˌaʊtoɡɾˌafˈadɐs
autografado	ˌaʊtoɡɾafˈadʊ	ˌaʊtoɡɾˌafˈadʊ
autografados	ˌaʊtoɡɾafˈadʊs	ˌaʊtoɡɾˌafˈadʊs
autografai	ˌaʊtoɡɾafˈaɪ	ˌaʊtoɡɾafˈaɪ
autografais	ˌaʊtoɡɾafˈaɪs	ˌaʊtoɡɾafˈaɪs
autografam	ˌaʊtoɡɾˈafɐ̃ʊ̃	ˌaʊtoɡɾˈafɐ̃ʊ̃
autografamo	ˌaʊtoɡɾafˈɐ̃mʊ	ˌaʊtoɡɾˌafˈɐ̃mʊ
autografamos	ˌaʊtoɡɾafˈɐ̃mʊs	ˌaʊtoɡɾˌafˈɐ̃mʊs
autografámos	ˌaʊtoɡɾafˈamʊs	ˌaʊtoɡɾˌafˈamʊs
autografando	ˌaʊtoɡɾafˈɐ̃ndʊ	ˌaʊtoɡɾˌafˈɐ̃ndʊ
autografar	ˌaʊtoɡɾafˈaɾ	ˌaʊtoɡɾafˈaɾ
autografara	ˌaʊtoɡɾafˈaɾɐ	ˌaʊtoɡɾˌafˈaɾɐ
autografará	ˌaʊtoɡɾˌafaɾˈa	ˌaʊtoɡɾˌafaɾˈa
autografaram	ˌaʊtoɡɾafˈaɾɐ̃ʊ̃	ˌaʊtoɡɾˌafˈaɾɐ̃ʊ̃
autografáramos	ˌaʊtoɡɾafˈaɾɐmʊs	ˌaʊtoɡɾˌafˈaɾɐmʊs
autografarão	ˌaʊtoɡɾˌafaɾˈɐ̃ʊ̃	ˌaʊtoɡɾˌafaɾˈɐ̃ʊ̃
autografaras	ˌaʊtoɡɾafˈaɾɐs	ˌaʊtoɡɾˌafˈaɾɐs
autografarás	ˌaʊtoɡɾˌafaɾˈas	ˌaʊtoɡɾˌafaɾˈas
autografardes	ˌaʊtoɡɾafˈaɾdʒɪs	ˌaʊtoɡɾˌafˈaɾdʒɪs
autografarei	ˌaʊtoɡɾˌafaɾˈeɪ	ˌaʊtoɡɾˌafaɾˈeɪ
autografareis	ˌaʊtoɡɾˌafaɾˈeɪs	ˌaʊtoɡɾˌafaɾˈeɪs
autografáreis	ˌaʊtoɡɾafˈaɾeɪs	ˌaʊtoɡɾˌafˈaɾeɪs
autografarem	ˌaʊtoɡɾafˈaɾeɪm	ˌaʊtoɡɾˌafˈaɾeɪm
autografaremo	ˌaʊtoɡɾˌafaɾˈemʊ	ˌaʊtoɡɾˌafaɾˈemʊ
autografaremos	ˌaʊtoɡɾˌafaɾˈemʊs	ˌaʊtoɡɾˌafaɾˈemʊs
autografares	ˌaʊtoɡɾafˈaɾɪs	ˌaʊtoɡɾˌafˈaɾɪs
autografaria	ˌaʊtoɡɾˌafaɾˈiʲɐ	ˌaʊtoɡɾˌafaɾˈiʲɐ
autografariam	ˌaʊtoɡɾˌafaɾˈiʲɐ̃ʊ̃	ˌaʊtoɡɾˌafaɾˈiʲɐ̃ʊ̃
autografaríamos	ˌaʊtoɡɾˌafaɾˈiʲɐmʊs	ˌaʊtoɡɾˌafaɾˈiʲɐmʊs
autografarias	ˌaʊtoɡɾˌafaɾˈiʲɐs	ˌaʊtoɡɾˌafaɾˈiʲɐs
autografaríeis	ˌaʊtoɡɾˌafaɾˈiʲeɪs	ˌaʊtoɡɾˌafaɾˈiʲeɪs
autografarmo	ˌaʊtoɡɾafˈaɾmʊ	ˌaʊtoɡɾˌafˈaɾmʊ
autografarmos	ˌaʊtoɡɾafˈaɾmʊs	ˌaʊtoɡɾˌafˈaɾmʊs
autografas	ˌaʊtoɡɾˈafɐs	ˌaʊtoɡɾˈafɐs
autografasse	ˌaʊtoɡɾafˈasɪ	ˌaʊtoɡɾˌafˈasɪ
autografásseis	ˌaʊtoɡɾafˈaseɪs	ˌaʊtoɡɾˌafˈaseɪs
autografassem	ˌaʊtoɡɾafˈaseɪm	ˌaʊtoɡɾˌafˈaseɪm
autografássemos	ˌaʊtoɡɾafˈasemʊs	ˌaʊtoɡɾˌafˈasemʊs
autografasses	ˌaʊtoɡɾafˈasɪs	ˌaʊtoɡɾˌafˈasɪs
autografaste	ˌaʊtoɡɾafˈastʃɪ	ˌaʊtoɡɾˌafˈastʃɪ
autografastes	ˌaʊtoɡɾafˈastʃɪs	ˌaʊtoɡɾˌafˈastʃɪs
autografava	ˌaʊtoɡɾafˈavɐ	ˌaʊtoɡɾˌafˈavɐ
autografavam	ˌaʊtoɡɾafˈavɐ̃ʊ̃	ˌaʊtoɡɾˌafˈavɐ̃ʊ̃
autografávamos	ˌaʊtoɡɾafˈavɐmʊs	ˌaʊtoɡɾˌafˈavɐmʊs
autografavas	ˌaʊtoɡɾafˈavɐs	ˌaʊtoɡɾˌafˈavɐs
autografáveis	ˌaʊtoɡɾafˈaveɪs	ˌaʊtoɡɾˌafˈaveɪs
autografe	ˌaʊtoɡɾˈafɪ	ˌaʊtoɡɾˈafɪ
autografei	ˌaʊtoɡɾafˈeɪ	ˌaʊtoɡɾafˈeɪ
autografeis	ˌaʊtoɡɾafˈeɪs	ˌaʊtoɡɾafˈeɪs
autografem	ˌaʊtoɡɾˈafeɪm	ˌaʊtoɡɾˈafeɪm
autografemo	ˌaʊtoɡɾafˈemʊ	ˌaʊtoɡɾˌafˈemʊ
autografemos	ˌaʊtoɡɾafˈemʊs	ˌaʊtoɡɾˌafˈemʊs
autografes	ˌaʊtoɡɾˈafɪs	ˌaʊtoɡɾˈafɪs
autografia	ˌaʊtoɡɾafˈiʲɐ	ˌaʊtoɡɾˌafˈiʲɐ
autográfica	ˌaʊtoɡɾˈafikɐ	ˌaʊtoɡɾˈafikɐ
autográficas	ˌaʊtoɡɾˈafikɐs	ˌaʊtoɡɾˈafikɐs
autográfico	ˌaʊtoɡɾˈafikʊ	ˌaʊtoɡɾˈafikʊ
autográficos	ˌaʊtoɡɾˈafikʊs	ˌaʊtoɡɾˈafikʊs
autografo	ˌaʊtoɡɾˈafʊ	ˌaʊtoɡɾˈafʊ
autografou	ˌaʊtoɡɾafˈoʊ	ˌaʊtoɡɾafˈoʊ
automação	ˌaʊtomasˈɐ̃ʊ̃	ˌaʊtomasˈɐ̃ʊ̃
automações	ˌaʊtomasˈõɪ̃s	ˌaʊtomasˈõɪ̃s
automática	ˌaʊtomˈatʃikɐ	ˌaʊtomˈatʃikɐ
automaticamente	ˌaʊtomˌatʃikɐmˈeɪntʃɪ	ˌaʊtomˌatʃikɐmˈeɪntʃɪ
automáticas	ˌaʊtomˈatʃikɐs	ˌaʊtomˈatʃikɐs
automático	ˌaʊtomˈatʃikʊ	ˌaʊtomˈatʃikʊ
automáticos	ˌaʊtomˈatʃikʊs	ˌaʊtomˈatʃikʊs
automatismo	ˌaʊtomatʃˈizmʊ	ˌaʊtomatʃˈizmʊ
automatismos	ˌaʊtomatʃˈizmʊs	ˌaʊtomˌatʃˈizmʊs
automatiza	ˌaʊtomatʃˈizɐ	ˌaʊtomˌatʃˈizɐ
automatizá	ˌaʊtomˌatʃizˈa	ˌaʊtomˌatʃizˈa
automatização	ˌaʊtomˌatʃizasˈɐ̃ʊ̃	ˌaʊtomˌatʃizasˈɐ̃ʊ̃
automatizações	ˌaʊtomˌatʃizasˈõɪ̃s	ˌaʊtomˌatʃizasˈõɪ̃s
automatizada	ˌaʊtomˌatʃizˈadɐ	ˌaʊtomˌatʃizˈadɐ
automatizadas	ˌaʊtomˌatʃizˈadɐs	ˌaʊtomˌatʃizˈadɐs
automatizado	ˌaʊtomˌatʃizˈadʊ	ˌaʊtomˌatʃizˈadʊ
automatizados	ˌaʊtomˌatʃizˈadʊs	ˌaʊtomˌatʃizˈadʊs
automatizai	ˌaʊtomˌatʃizˈaɪ	ˌaʊtomˌatʃizˈaɪ
automatizais	ˌaʊtomˌatʃizˈaɪs	ˌaʊtomˌatʃizˈaɪs
automatizam	ˌaʊtomatʃˈizɐ̃ʊ̃	ˌaʊtomˌatʃˈizɐ̃ʊ̃
automatizamo	ˌaʊtomˌatʃizˈɐ̃mʊ	ˌaʊtomˌatʃizˈɐ̃mʊ
automatizamos	ˌaʊtomˌatʃizˈɐ̃mʊs	ˌaʊtomˌatʃizˈɐ̃mʊs
automatizámos	ˌaʊtomˌatʃizˈamʊs	ˌaʊtomˌatʃizˈamʊs
automatizando	ˌaʊtomˌatʃizˈɐ̃ndʊ	ˌaʊtomˌatʃizˈɐ̃ndʊ
automatizar	ˌaʊtomˌatʃizˈaɾ	ˌaʊtomˌatʃizˈaɾ
automatizara	ˌaʊtomˌatʃizˈaɾɐ	ˌaʊtomˌatʃizˈaɾɐ
automatizará	ˌaʊtomˌatʃizaɾˈa	ˌaʊtomˌatʃizaɾˈa
automatizaram	ˌaʊtomˌatʃizˈaɾɐ̃ʊ̃	ˌaʊtomˌatʃizˈaɾɐ̃ʊ̃
automatizáramos	ˌaʊtomˌatʃizˈaɾɐmʊs	ˌaʊtomˌatʃizˈaɾɐmʊs
automatizarão	ˌaʊtomˌatʃizaɾˈɐ̃ʊ̃	ˌaʊtomˌatʃizaɾˈɐ̃ʊ̃
automatizaras	ˌaʊtomˌatʃizˈaɾɐs	ˌaʊtomˌatʃizˈaɾɐs
automatizarás	ˌaʊtomˌatʃizaɾˈas	ˌaʊtomˌatʃizaɾˈas
automatizardes	ˌaʊtomˌatʃizˈaɾdʒɪs	ˌaʊtomˌatʃizˈaɾdʒɪs
automatizarei	ˌaʊtomˌatʃizaɾˈeɪ	ˌaʊtomˌatʃizaɾˈeɪ
automatizareis	ˌaʊtomˌatʃizaɾˈeɪs	ˌaʊtomˌatʃizaɾˈeɪs
automatizáreis	ˌaʊtomˌatʃizˈaɾeɪs	ˌaʊtomˌatʃizˈaɾeɪs
automatizarem	ˌaʊtomˌatʃizˈaɾeɪm	ˌaʊtomˌatʃizˈaɾeɪm
automatizaremo	ˌaʊtomˌatʃizaɾˈemʊ	ˌaʊtomˌatʃizaɾˈemʊ
automatizaremos	ˌaʊtomˌatʃizaɾˈemʊs	ˌaʊtomˌatʃizaɾˈemʊs
automatizares	ˌaʊtomˌatʃizˈaɾɪs	ˌaʊtomˌatʃizˈaɾɪs
automatizaria	ˌaʊtomˌatʃizaɾˈiʲɐ	ˌaʊtomˌatʃizaɾˈiʲɐ
automatizariam	ˌaʊtomˌatʃizaɾˈiʲɐ̃ʊ̃	ˌaʊtomˌatʃizaɾˈiʲɐ̃ʊ̃
automatizaríamos	ˌaʊtomˌatʃizaɾˈiʲɐmʊs	ˌaʊtomˌatʃizaɾˈiʲɐmʊs
automatizarias	ˌaʊtomˌatʃizaɾˈiʲɐs	ˌaʊtomˌatʃizaɾˈiʲɐs
automatizaríeis	ˌaʊtomˌatʃizaɾˈiʲeɪs	ˌaʊtomˌatʃizaɾˈiʲeɪs
automatizarmo	ˌaʊtomˌatʃizˈaɾmʊ	ˌaʊtomˌatʃizˈaɾmʊ
automatizarmos	ˌaʊtomˌatʃizˈaɾmʊs	ˌaʊtomˌatʃizˈaɾmʊs
automatizas	ˌaʊtomatʃˈizɐs	ˌaʊtomˌatʃˈizɐs
automatizasse	ˌaʊtomˌatʃizˈasɪ	ˌaʊtomˌatʃizˈasɪ
automatizásseis	ˌaʊtomˌatʃizˈaseɪs	ˌaʊtomˌatʃizˈaseɪs
automatizassem	ˌaʊtomˌatʃizˈaseɪm	ˌaʊtomˌatʃizˈaseɪm
automatizássemos	ˌaʊtomˌatʃizˈasemʊs	ˌaʊtomˌatʃizˈasemʊs
automatizasses	ˌaʊtomˌatʃizˈasɪs	ˌaʊtomˌatʃizˈasɪs
automatizaste	ˌaʊtomˌatʃizˈastʃɪ	ˌaʊtomˌatʃizˈastʃɪ
automatizastes	ˌaʊtomˌatʃizˈastʃɪs	ˌaʊtomˌatʃizˈastʃɪs
automatizava	ˌaʊtomˌatʃizˈavɐ	ˌaʊtomˌatʃizˈavɐ
automatizavam	ˌaʊtomˌatʃizˈavɐ̃ʊ̃	ˌaʊtomˌatʃizˈavɐ̃ʊ̃
automatizávamos	ˌaʊtomˌatʃizˈavɐmʊs	ˌaʊtomˌatʃizˈavɐmʊs
automatizavas	ˌaʊtomˌatʃizˈavɐs	ˌaʊtomˌatʃizˈavɐs
automatizáveis	ˌaʊtomˌatʃizˈaveɪs	ˌaʊtomˌatʃizˈaveɪs
automatize	ˌaʊtomatʃˈizɪ	ˌaʊtomˌatʃˈizɪ
automatizei	ˌaʊtomˌatʃizˈeɪ	ˌaʊtomˌatʃizˈeɪ
automatizeis	ˌaʊtomˌatʃizˈeɪs	ˌaʊtomˌatʃizˈeɪs
automatizem	ˌaʊtomatʃˈizeɪm	ˌaʊtomˌatʃˈizeɪm
automatizemo	ˌaʊtomˌatʃizˈemʊ	ˌaʊtomˌatʃizˈemʊ
automatizemos	ˌaʊtomˌatʃizˈemʊs	ˌaʊtomˌatʃizˈemʊs
automatizes	ˌaʊtomatʃˈizɪs	ˌaʊtomˌatʃˈizɪs
automatizo	ˌaʊtomatʃˈizʊ	ˌaʊtomˌatʃˈizʊ
automatizou	ˌaʊtomˌatʃizˈoʊ	ˌaʊtomˌatʃizˈoʊ
automobilismo	ˌaʊtomˌobilˈizmʊ	ˌaʊtomˌobilˈizmʊ
automobilismos	ˌaʊtomˌobilˈizmʊs	ˌaʊtomˌobilˈizmʊs
automobilista	ˌaʊtomˌobilˈistɐ	ˌaʊtomˌobilˈistɐ
automobilistas	ˌaʊtomˌobilˈistɐs	ˌaʊtomˌobilˈistɐs
automobilística	ˌaʊtomˌobilˈistʃikɐ	ˌaʊtomˌobilˈistʃikɐ
automobilísticas	ˌaʊtomˌobilˈistʃikɐs	ˌaʊtomˌobilˈistʃikɐs
automobilístico	ˌaʊtomˌobilˈistʃikʊ	ˌaʊtomˌobilˈistʃikʊ
automobilísticos	ˌaʊtomˌobilˈistʃikʊs	ˌaʊtomˌobilˈistʃikʊs
automobiliza	ˌaʊtomˌobilˈizɐ	ˌaʊtomˌobilˈizɐ
automobilizá	ˌaʊtomˌobilizˈa	ˌaʊtomˌobilizˈa
automobilizada	ˌaʊtomˌobilizˈadɐ	ˌaʊtomˌobilizˈadɐ
automobilizadas	ˌaʊtomˌobilizˈadɐs	ˌaʊtomˌobilizˈadɐs
automobilizado	ˌaʊtomˌobilizˈadʊ	ˌaʊtomˌobilizˈadʊ
automobilizados	ˌaʊtomˌobilizˈadʊs	ˌaʊtomˌobilizˈadʊs
automobilizai	ˌaʊtomˌobilizˈaɪ	ˌaʊtomˌobilizˈaɪ
automobilizais	ˌaʊtomˌobilizˈaɪs	ˌaʊtomˌobilizˈaɪs
automobilizam	ˌaʊtomˌobilˈizɐ̃ʊ̃	ˌaʊtomˌobilˈizɐ̃ʊ̃
automobilizamos	ˌaʊtomˌobilizˈɐ̃mʊs	ˌaʊtomˌobilizˈɐ̃mʊs
automobilizámos	ˌaʊtomˌobilizˈamʊs	ˌaʊtomˌobilizˈamʊs
automobilizando	ˌaʊtomˌobilizˈɐ̃ndʊ	ˌaʊtomˌobilizˈɐ̃ndʊ
automobilizar	ˌaʊtomˌobilizˈaɾ	ˌaʊtomˌobilizˈaɾ
automobilizara	ˌaʊtomˌobilizˈaɾɐ	ˌaʊtomˌobilizˈaɾɐ
automobilizará	ˌaʊtomˌobilˌizaɾˈa	ˌaʊtomˌobilˌizaɾˈa
automobilizaram	ˌaʊtomˌobilizˈaɾɐ̃ʊ̃	ˌaʊtomˌobilizˈaɾɐ̃ʊ̃
automobilizáramos	ˌaʊtomˌobilizˈaɾɐmʊs	ˌaʊtomˌobilizˈaɾɐmʊs
automobilizarão	ˌaʊtomˌobilˌizaɾˈɐ̃ʊ̃	ˌaʊtomˌobilˌizaɾˈɐ̃ʊ̃
automobilizaras	ˌaʊtomˌobilizˈaɾɐs	ˌaʊtomˌobilizˈaɾɐs
automobilizarás	ˌaʊtomˌobilˌizaɾˈas	ˌaʊtomˌobilˌizaɾˈas
automobilizardes	ˌaʊtomˌobilizˈaɾdʒɪs	ˌaʊtomˌobilizˈaɾdʒɪs
automobilizarei	ˌaʊtomˌobilˌizaɾˈeɪ	ˌaʊtomˌobilˌizaɾˈeɪ
automobilizareis	ˌaʊtomˌobilˌizaɾˈeɪs	ˌaʊtomˌobilˌizaɾˈeɪs
automobilizáreis	ˌaʊtomˌobilizˈaɾeɪs	ˌaʊtomˌobilizˈaɾeɪs
automobilizarem	ˌaʊtomˌobilizˈaɾeɪm	ˌaʊtomˌobilizˈaɾeɪm
automobilizaremos	ˌaʊtomˌobilˌizaɾˈemʊs	ˌaʊtomˌobilˌizaɾˈemʊs
automobilizares	ˌaʊtomˌobilizˈaɾɪs	ˌaʊtomˌobilizˈaɾɪs
automobilizaria	ˌaʊtomˌobilˌizaɾˈiʲɐ	ˌaʊtomˌobilˌizaɾˈiʲɐ
automobilizariam	ˌaʊtomˌobilˌizaɾˈiʲɐ̃ʊ̃	ˌaʊtomˌobilˌizaɾˈiʲɐ̃ʊ̃
automobilizaríamos	ˌaʊtomˌobilˌizaɾˈiʲɐmʊs	ˌaʊtomˌobilˌizaɾˈiʲɐmʊs
automobilizarias	ˌaʊtomˌobilˌizaɾˈiʲɐs	ˌaʊtomˌobilˌizaɾˈiʲɐs
automobilizaríeis	ˌaʊtomˌobilˌizaɾˈiʲeɪs	ˌaʊtomˌobilˌizaɾˈiʲeɪs
automobilizarmos	ˌaʊtomˌobilizˈaɾmʊs	ˌaʊtomˌobilizˈaɾmʊs
automobilizas	ˌaʊtomˌobilˈizɐs	ˌaʊtomˌobilˈizɐs
automobilizasse	ˌaʊtomˌobilizˈasɪ	ˌaʊtomˌobilizˈasɪ
automobilizásseis	ˌaʊtomˌobilizˈaseɪs	ˌaʊtomˌobilizˈaseɪs
automobilizassem	ˌaʊtomˌobilizˈaseɪm	ˌaʊtomˌobilizˈaseɪm
automobilizássemos	ˌaʊtomˌobilizˈasemʊs	ˌaʊtomˌobilizˈasemʊs
automobilizasses	ˌaʊtomˌobilizˈasɪs	ˌaʊtomˌobilizˈasɪs
automobilizaste	ˌaʊtomˌobilizˈastʃɪ	ˌaʊtomˌobilizˈastʃɪ
automobilizastes	ˌaʊtomˌobilizˈastʃɪs	ˌaʊtomˌobilizˈastʃɪs
automobilizava	ˌaʊtomˌobilizˈavɐ	ˌaʊtomˌobilizˈavɐ
automobilizavam	ˌaʊtomˌobilizˈavɐ̃ʊ̃	ˌaʊtomˌobilizˈavɐ̃ʊ̃
automobilizávamos	ˌaʊtomˌobilizˈavɐmʊs	ˌaʊtomˌobilizˈavɐmʊs
automobilizavas	ˌaʊtomˌobilizˈavɐs	ˌaʊtomˌobilizˈavɐs
automobilizáveis	ˌaʊtomˌobilizˈaveɪs	ˌaʊtomˌobilizˈaveɪs
automobilize	ˌaʊtomˌobilˈizɪ	ˌaʊtomˌobilˈizɪ
automobilizei	ˌaʊtomˌobilizˈeɪ	ˌaʊtomˌobilizˈeɪ
automobilizeis	ˌaʊtomˌobilizˈeɪs	ˌaʊtomˌobilizˈeɪs
automobilizem	ˌaʊtomˌobilˈizeɪm	ˌaʊtomˌobilˈizeɪm
automobilizemos	ˌaʊtomˌobilizˈemʊs	ˌaʊtomˌobilizˈemʊs
automobilizes	ˌaʊtomˌobilˈizɪs	ˌaʊtomˌobilˈizɪs
automobilizo	ˌaʊtomˌobilˈizʊ	ˌaʊtomˌobilˈizʊ
automobilizou	ˌaʊtomˌobilizˈoʊ	ˌaʊtomˌobilizˈoʊ
automórfica	ˌaʊtomˈɔɾfikɐ	ˌaʊtomˈɔɾfikɐ
automórficas	ˌaʊtomˈɔɾfikɐs	ˌaʊtomˈɔɾfikɐs
automórfico	ˌaʊtomˈɔɾfikʊ	ˌaʊtomˈɔɾfikʊ
automórficos	ˌaʊtomˈɔɾfikʊs	ˌaʊtomˈɔɾfikʊs
automorfismo	ˌaʊtomoɾfˈizmʊ	ˌaʊtomoɾfˈizmʊ
automorfismos	ˌaʊtomoɾfˈizmʊs	ˌaʊtomˌoɾfˈizmʊs
automotivo	ˌaʊtomotʃˈivʊ	ˌaʊtomˌotʃˈivʊ
automotivos	ˌaʊtomotʃˈivʊs	ˌaʊtomˌotʃˈivʊs
automotor	ˌaʊtomotˈoɾ	ˌaʊtomotˈoɾ
automotora	ˌaʊtomotˈoɾɐ	ˌaʊtomˌotˈoɾɐ
automotoras	ˌaʊtomotˈoɾɐs	ˌaʊtomˌotˈoɾɐs
automotores	ˌaʊtomotˈoɾɪs	ˌaʊtomˌotˈoɾɪs
automóveis	ˌaʊtomˈɔveɪs	ˌaʊtomˈɔveɪs
automóvel	ˌaʊtomˈɔveʊ	ˌaʊtomˈɔveʊ
autonomamente	ˌaʊtonomɐmˈeɪntʃɪ	ˌaʊtonomɐmˈeɪntʃɪ
autonomeá	ˌaʊtonˌomeˈa	ˌaʊtonˌomeˈa
autonomeada	ˌaʊtonˌomeˈadɐ	ˌaʊtonˌomeˈadɐ
autonomeadas	ˌaʊtonˌomeˈadɐs	ˌaʊtonˌomeˈadɐs
autonomeado	ˌaʊtonˌomeˈadʊ	ˌaʊtonˌomeˈadʊ
autonomeados	ˌaʊtonˌomeˈadʊs	ˌaʊtonˌomeˈadʊs
autonomeai	ˌaʊtonˌomeˈaɪ	ˌaʊtonˌomeˈaɪ
autonomeais	ˌaʊtonˌomeˈaɪs	ˌaʊtonˌomeˈaɪs
autonomeamo	ˌaʊtonˌomeˈɐ̃mʊ	ˌaʊtonˌomeˈɐ̃mʊ
autonomeamos	ˌaʊtonˌomeˈɐ̃mʊs	ˌaʊtonˌomeˈɐ̃mʊs
autonomeando	ˌaʊtonˌomeˈɐ̃ndʊ	ˌaʊtonˌomeˈɐ̃ndʊ
autonomear	ˌaʊtonˌomeˈaɾ	ˌaʊtonˌomeˈaɾ
autonomeara	ˌaʊtonˌomeˈaɾɐ	ˌaʊtonˌomeˈaɾɐ
autonomeará	ˌaʊtonˌomeaɾˈa	ˌaʊtonˌomeaɾˈa
autonomearam	ˌaʊtonˌomeˈaɾɐ̃ʊ̃	ˌaʊtonˌomeˈaɾɐ̃ʊ̃
autonomeáramos	ˌaʊtonˌomeˈaɾɐmʊs	ˌaʊtonˌomeˈaɾɐmʊs
autonomearão	ˌaʊtonˌomeaɾˈɐ̃ʊ̃	ˌaʊtonˌomeaɾˈɐ̃ʊ̃
autonomearas	ˌaʊtonˌomeˈaɾɐs	ˌaʊtonˌomeˈaɾɐs
autonomearás	ˌaʊtonˌomeaɾˈas	ˌaʊtonˌomeaɾˈas
autonomeardes	ˌaʊtonˌomeˈaɾdʒɪs	ˌaʊtonˌomeˈaɾdʒɪs
autonomearei	ˌaʊtonˌomeaɾˈeɪ	ˌaʊtonˌomeaɾˈeɪ
autonomeareis	ˌaʊtonˌomeaɾˈeɪs	ˌaʊtonˌomeaɾˈeɪs
autonomeáreis	ˌaʊtonˌomeˈaɾeɪs	ˌaʊtonˌomeˈaɾeɪs
autonomearem	ˌaʊtonˌomeˈaɾeɪm	ˌaʊtonˌomeˈaɾeɪm
autonomearemo	ˌaʊtonˌomeaɾˈemʊ	ˌaʊtonˌomeaɾˈemʊ
autonomearemos	ˌaʊtonˌomeaɾˈemʊs	ˌaʊtonˌomeaɾˈemʊs
autonomeares	ˌaʊtonˌomeˈaɾɪs	ˌaʊtonˌomeˈaɾɪs
autonomearia	ˌaʊtonˌomeaɾˈiʲɐ	ˌaʊtonˌomeaɾˈiʲɐ
autonomeariam	ˌaʊtonˌomeaɾˈiʲɐ̃ʊ̃	ˌaʊtonˌomeaɾˈiʲɐ̃ʊ̃
autonomearíamos	ˌaʊtonˌomeaɾˈiʲɐmʊs	ˌaʊtonˌomeaɾˈiʲɐmʊs
autonomearias	ˌaʊtonˌomeaɾˈiʲɐs	ˌaʊtonˌomeaɾˈiʲɐs
autonomearíeis	ˌaʊtonˌomeaɾˈiʲeɪs	ˌaʊtonˌomeaɾˈiʲeɪs
autonomearmo	ˌaʊtonˌomeˈaɾmʊ	ˌaʊtonˌomeˈaɾmʊ
autonomearmos	ˌaʊtonˌomeˈaɾmʊs	ˌaʊtonˌomeˈaɾmʊs
autonomeasse	ˌaʊtonˌomeˈasɪ	ˌaʊtonˌomeˈasɪ
autonomeásseis	ˌaʊtonˌomeˈaseɪs	ˌaʊtonˌomeˈaseɪs
autonomeassem	ˌaʊtonˌomeˈaseɪm	ˌaʊtonˌomeˈaseɪm
autonomeássemos	ˌaʊtonˌomeˈasemʊs	ˌaʊtonˌomeˈasemʊs
