	bol	_	'bOw

	bom		bo~
	bom	_	'bo~

	bon		bo~
	bon	_	'bo~

	bor		bo4
	bor	_	'bo4

	bos		bos
	bos	_	bUs
	bos	^S	boz

	bou		boU
	bou	_	'boU

	bot		bot	// bot.su.a.no

	bra		b4a
	bra	_	b46
%	bra		b46
	bra	^[mn]	b46

	brá		'b4a

	brâ		b46	// brâ.ma.ne

	brai		b4aI

	brais		b4aIs

	bral	_	'b4aw	// ce.re.bral

	bram	_	b46~U

	bran		b46~

	brân		'b46~

	brão	_	'b46~U

	brar		b4a4
	brar	_	'b4a4

	bras		b4as
	bras	_	b46s

	brás		'b4as

	bre		b4e
	bre	_	b4I

	brei		b4eI
	brei	_	'b4eI

	breis		b4eIs

	brem		b4e~

	bres		b4es
	bres	_	b4Is
	bres	^S	brez

	brês	_	'bres	// ge.ne.brês

	breu		b4eU	// he.breu
	breus		b4eU	// he.breus

	bri		b4i
	bri	_	'b4i

	brí		'b4i

	bril	_	'b4iw

_	brim	_	b4i~	// brim

	brin		b4i~
	brin	_	'b4i~

%	brio	_	b4iU

	brir		b4i4
	brir	_	'b4i4

	bris		b4is
	bris	_	'b4i4
	bris	^S	b4iz

	bro		b4o
	bro	_	b4U

	bró		'b4O	// bró.co.lis

	bros	_	b4Us

	bron		b4o~
	bron	_	'b4o~

	brôn		'b4o~

	brou		b4oU
	brou	_	'b4oU

	bru		b4u
	bru	_	'b4u

	brum		b4u~
	brum	_	'b4u~	// de.brum

	brup		b4up	// a.brup.to

	brus		b4us	// brus.co
	brus		'b4us
	brus	^S	b4uz

	bu		bu
	bu	_	'bu

	bú		'bu

%	bua	_	bu6	// tá.bua

	bui		buI

	bul		buw	// bul.bo, bul.do.gue

	búl		'buw	// búl.ga.ro

	bun		bu~
	bun	_	'bu~

	bum		bu~	// bum.bo
	bum	_	'bu~	// bum.bum

	bur		bu4
	bur	_	'bu4

	búr		'bu4	// su.búr.bio

	bus		bus
	bus	_	'bus
	bus	^S	buz

	bús		'bus

	buz	_	'bus	// ar.ca.buz

	ca		ka
	ca	_	k6
%	ca		k6
	ca	^[mn]	k6

	cá		'ka

	câ		'k6

	ça		sa
	ça	_	s6
%	ça		s6
	ça	^[mn]	s6

	çá		'sa

	çâ		's6

	çã	_	's6~

	cac		kak	// cac.to, cac.tá.ce.a TODO: devia ser [kak'ta.si.ɐ]

	cád		'kad	// cád.mi.o

	cáf		'kaf	// cáf.ten

	cai		kaI

	cãi		'k6~I

	çai		saI

	cais		kaIs

	çais		saIs

	cal		kaw	// cal.ça.do, cal.cá.ri.o
	cal	_	'kaw	// do.mi.ni.cal, an.ge.li.cal

	cál		'kaw	// cál.ci.o

	çal		'saw	// la.ma.çal

	cam		k6~
	cam	_	k6~U

	câm		'k6~

	çam		s6~
	çam	_	s6~U

	can		k6~

	cân		'k6~

	çan		s6~

	cã	_	'k6~	// pecã, cancã
_	cã	_	'k6~	// cã

	cã	_	s6~	// ma.cã

	cão		k6~U	// cão.zi.nho
	cão	_	'k6~U

	ção		's6~U	// são.ma.ra.nhen.se
%	ção	_	s6~U

	cap		kap

	cáp		'kap

	car		ka4
	car	_	'ka4

	cár		'ka4	// es.cár.ni.o

	çar		sa4
	çar	_	'sa4

	cas		kas
	cas	_	'k6s
	cas	^S	kaz

	cás		'kas

	ças		sas
	ças	_	'sas
	ças	^S	saz

	çás		'sas

	cau		kaU
	cau	_	'kaU

	caus		kaUs	// ho.lo.caus.to

	cáus		'kaUs	// cáus.ti.co

	caz	_	'kas	// i.ne.fi.caz

	ce		se
	ce	_	sI

	cé		'sE

	cê		'se

%	cea	_	si6	// ro.sá.cea

	cei		seI
	cei	_	'seI

	ceis		seIs

	cel		sew
	cel	_	'sEw

	cél		'sEw	// cél.ti.co

	cem		se~
	cém		'se~I

	cen		se~
	cen	_	'se~

	cên		'se~

	cep		sep
ex	cep		sep	// ex.cep.ci.o.nal

	cép		'sEp	// cép.ti.co

	ceps		seps

%	ceo	_	siU	// crus.tá.ceo

	cer		se4
	cer	_	'se4

	cér		'sE4	// a.cér.ri.mo, cér.be.ro

	ces		ses
	ces	_	sIs
	ces	^S	sez

	cês		'ses

	ceu		seU
	ceu	_	'seU

	céu		'sEU	// es.car.céu

	cêu		'seU 	// far.ma.cêu.ti.co

	cha		Sa
	cha	_	S6

	chá		'Sa

	chai		SaI
	chai	_	'Sai

	chais		Sais
	chais	_	'Sais

	chal		Saw
	chal	_	'Saw

	cham		S6~
	cham	_	S6~U

	chan		S6~

	chão	_	'S6~U

	char		Sa4
	char	_	'Sa4

	chas		Sas
	chas	_	S6s

	chás		'Sas

	chau		SaU	// chau.vi.nis.mo
	chau	_	'SaU

	che		Se
	che	_	SI

	chê		'Se	// ca.chê

	chei		SeI
	chei	_	'SeI

	cheis		SeIs
	cheis	_	'SeIs

	chem		Se~
	chem	_	Se~I

	chen		Se~
	chen	_	'Se~I

	cher	_	'Se4

	ches		Ses
	ches	_	SIs

	chi		Si
	chi	_	'Si

	chil		Siw
	chil	_	'Siw

	chim		Si~
	chim	_	'Si~

	chin		Si~
	chin	_	'Si~

	chis		Sis	// chis.par
	chis	_	'Sis
	chis	^S	Siz

	cho		So
	cho	_	SU

	chó		'SO	// bre.chó

	chol		Sow	// chol.da
	chol	_	'SOw

	chor		So4
	chor	_	'So4

	chos		So
	chos	_	SUs	// pe.tre.chos
	chos	^S	Soz

	chós		'SOs	// bre.chós

	chou		SoU

	chu		Su
	chu	_	'Su

	chu		Su
	chu	_	'Su

%	chua	_	Su6	// quí.chua

	chum		Su~	// chum.bo

	chur		Su4
	chur	_	'Su4

	chus		Sus
	chus	^S	Suz	// chus.ma

	ci		si
	ci	_	'si

	cia		cia	// a.nun.cia.ção, cia.no.fí.ce.a
%	cia	_	si6	// ci.ên.cia, a.de.rên.cia
%	cias	_	si6s	// pri.mí.cias

%	cie	_	siI	// es.pé.cie, pla.ní.cie, i.mun.dí.cie

	cí		'si

	cil		siw	// po.cil.ga
	cil	_	'siw	// im.be.cil
%	cil	_	siw	// fá.cil, di.fí.cíl, dó.cil

	cim		si~	// ca.cim.ba
	cim	_	'si~I	// ro.cim, re.lan.cim

	cím		'si~	// cím.ba.lo

	cin		si~
	cin	_	'si~I

	cio		sio	// na.cio.nal, re.cep.cio.nis.ta
%	cio	_	siU	// ar.mis.tí.cio

	cir		si4
	cir	_	'si4

	cír		'si4

	cis		sis
	cis	_	'sis
	cis	^S	siz

	cís		'sis

	cla		kla
	cla	_	kl6
%	cla		kl6
	cla	^[mn]	kl6

_	clã	_	kl6~	// clã

	clan		kl6~	// clan.des.ti.no

	clas		klas
	clas	_	kl6s

	clás		'klas

	clau		klaU	// cláu.su.la

	cláu		'klaU	// clau.su.ra

	claus		klaU	// cláus.tro

	cle		kle
	cle	_	klI

	clé		'klE	// clé.ri.go, e.clé.ti.co

%	cleo	_	kleU	// nú.cleo

