$ paste ~/ista.a.txt ~/ista.b.txt | awk '{ print $1, $2, $4}'

archotista	ˌaɾʃotʃˈistɐ	ˌaɾʃotʃˈistɐ
argumentista	ˌaɾɡumeɪntʃˈistɐ	ˌaɾɡumeɪntʃˈistɐ
armamentista	ˌaɾmɐmeɪntʃˈistɐ	ˌaɾmɐmeɪntʃˈistɐ
armazenista	ˌaɾmazenˈistɐ	ˌaɾmazenˈistɐ
arqueologista	ˌaɾkeˌoloʒˈistɐ	ˌaɾkeˌoloʒˈistɐ
arquivista	ˌaɾkivˈistɐ	ˌaɾkivˈistɐ
arranjista	ˌaxɐ̃nʒˈistɐ	ˌaxɐ̃nʒˈistɐ
arrivista	ˌaxivˈistɐ	ˌaxivˈistɐ
articulista	ˌaɾtʃikulˈistɐ	ˌaɾtʃikulˈistɐ
artista	ˌaɾtʃˈistɐ	ˌaɾtʃˈistɐ
ascensorista	ˌaseɪnsoɾˈistɐ	ˌaseɪnsoɾˈistɐ
assiriologista	ˌasiɾˌioloʒˈistɐ	ˌasiɾˌioloʒˈistɐ
assista	ˌasˈistɐ	ˌasˈistɐ
associativista	ˌasosˌiatʃivˈistɐ	ˌasosˌiatʃivˈistɐ
atacadista	ˌatakadʒˈistɐ	ˌatakadʒˈistɐ
ativista	ˌatʃivˈistɐ	ˌatʃivˈistɐ
atomista	ˌatomˈistɐ	ˌatomˈistɐ
atualista	ˌatualˈistɐ	ˌatualˈistɐ
autista	ˌaʊtʃˈistɐ	ˌaʊtʃˈistɐ
automobilista	ˌaʊtomˌobilˈistɐ	ˌaʊtomˌobilˈistɐ
autonomista	ˌaʊtonˌomˈistɐ	ˌaʊtonomˈistɐ
avalista	ˌavalˈistɐ	ˌavalˈistɐ
avista	ˌavˈistɐ	ˌavˈistɐ
azulejista	ˌazuleʒˈistɐ	ˌazuleʒˈistɐ
bacteriologista	bˌakteɾˌioloʒˈistɐ	bˌakteɾˌioloʒˈistɐ
bagagista	bˌaɡaʒˈistɐ	bˌaɡaʒˈistɐ
