Aarão	,aa*'&U~
Anastácio	,&nast'asjU
Anatólia	,&nat'Olj&
Anaurilândia	,&naU*il'&~NdZj&
Anaxágoras	,&naS'ago*&s
Ancara	,&~Nk'a*&
Anchieta	,&~NSi;'et&
Andaluzia	,&~Ndaluz'i;&
Andaraí	,&~Nda*a'i
Andirá	,&~NdZi*'a
Andorinha	,&~Ndo*'in^&
Andorra	,&~Nd'ox&
Andradas	,&~NdR'ad&s
Andrade	,&~NdR'adZy
Andradina	,&~NdRadZ'in&
Andreazza	,&~NdRe'az&
Andrelândia	,&~NdRel'&~NdZj&
André	&~NdR'E
Andréia	,&~NdR'EI&
Andrômeda	,&~NdR'omed&
Angatuba	,&~Ngat'ub&
Angelim	,&~NZel'iN
Angelina	,&~NZel'in&
Angelândia	,&~NZel'&~NdZj&
Angical	,&~NZik'aU
Angico	,&~NZ'ikU
Angicos	,&~NZ'ikUs
Anglo	'&~NglU
Angola	,&~Ng'Ol&
Angra	'&~NgR&
Anguera	,&~Ng'e*&
Anguila	,&~Ng'il&
Angélica	,&~NZ'Elik&
Anhanguera	,&~n^&~Ng'e*&
Anhangüera	,&~n^&~Ngu'e*&
Anhembi	,&~n^eImb'i
Anhumas	,&~n^'um&s
Anicuns	,&nik'u~Ns#
Anita	,&n'it&
Anitápolis	,&nit'apolis
Anori	,&no*'i
Anselmo	,&~Ns'EUmU
Anta	'&~Nt&
Antananarivo	,&~Nt&n,&na*'ivU
Antares	,&~Nt'a*ys
Antas	'&~Nt&s
Antilhas	,&~NtS'ilj&s
Antioquia	,&~NtSi;ok'i;&
Antonieta	,&~Ntoni;'et&
Antonina	,&~Nton'in&
Antonino	,&~Nton'inU
Antonio	,&~Nt'onIU
Antunes	,&~Nt'unys
Antuérpia	,&~Ntu'E*@-pj&
Antártida	,&~Nt'a*@-tSid&
Antão	&~Nt'&U~
Antígua	,&~NtS'igw&
Antíoco	,&~NtS'i;UkU
Antônia	,&~Nt'onj&
Antônio	,&~Nt'onjU
Antônios	,&~Nt'onjUs
Anápolis	,&n'apolis
Anás	&~n'as
Anísio	,&n'izjU
Aparecida	,apa*es'id&
Aperibé	,ape*ib'E
Apia	,ap'i;&
Apiacá	,api;ak'a
Apiacás	,api;ak'as
Apiaí	,api;a'i
Apicum	,apik'u~N
Apiúna	,api;'un&
Apodi	,apodZ'i
Apolônio	,apol'onjU
Aporá	,apo*'a
Aporé	,apo*'E
Aprazível	,apRaz'iveU
Apuarema	,apua*'em&
Apucarana	,apuka*'&~n&
Apuiarés	,apuIa*'Es
Apuí	apw'i
Aquidabã	,akidab'&~
Aquidauana	,akidaU'&~n&
Aquiles	,ak'ilys
Aquino	,ak'inU
Aquiraz	,aki*'as
Aquitânia	,akit'&~nj&
Arabutã	,a*abut'&~
Aracaju	,a*akaZ'u
Aracanguá	,a*ak&~Ngw'a
Aracati	,a*akatS'i
Aracatu	,a*akat'u
Araci	,a*as'i
Aracitaba	,a*asit'ab&
Aracoiaba	,a*akoI'ab&
Aracruz	,a*akR'us
Aragarças	,a*ag'a*@-s&s
Aragoiânia	,a*agoI'&~nj&
Aragominas	,a*agom'in&s
Araguacema	,a*agwas'em&
Araguaia	,a*agw'aI;&
Araguaiana	,a*agwaI;'&~n&
Araguainha	,a*agwa'in^&
Araguanã	,a*agw&~n'&~
Araguapaz	,a*agwap'as
Araguari	,a*agwa*'i
Araguatins	,a*agwatS'iNs#
Araguaçu	,a*agwas'u
Araguaína	,a*agwa'in&
Aragão	,a*ag'&U~
Araioses	,a*aI;'Ozys
Aral	a*'aU
Aramari	,a*&ma*'i
Arambaré	,a*&~mba*'E
Arame	,a*'&~my
Aramina	,a*&m'in&
Arandu	,a*&~Nd'u
Aranha	,a*'&~n^&
Arantina	,a*&~NtS'in&
Arapeí	,a*ape'i
Arapiraca	,a*api*'ak&
Arapoema	,a*apo'em&
Araponga	,a*ap'oNg&
Arapongas	,a*ap'oNg&s
Araporã	,a*apo*'&~
Arapoti	,a*apotS'i
Araputanga	,a*aput'&~Ng&
Arapuá	,a*apw'a
Arapuã	,a*apw'&~
Araquari	,a*akwa*'i
Arara	,a*'a*&
Araranguá	,a*a*&~Ngw'a
Araraquara	,a*a*akw'a*&
Araras	,a*'a*&s
Ararat	,a*a*'atS
Ararendá	,a*a*eINd'a
Arari	,a*a*'i
Araricá	,a*a*ik'a
Araripe	,a*a*'ipy
Araripina	,a*a*ip'in&
Araruama	,a*a*u'&~m&
Araruna	,a*a*'un&
Arataca	,a*at'ak&
Aratiba	,a*atS'ib&
Aratuba	,a*at'ub&
Aratuípe	,a*atu'ipy
Araucária	,a*aUk'a*j&
Arauá	,a*aU'a
Araxá	,a*aS'a
Araçagi	,a*asaZ'i
Araçariguama	,a*as,a*igw'&~m&
Araças	,a*'as&s
Araçatuba	,a*asat'ub&
Araçaí	,a*asa'i
Araçoiaba	,a*asoI'ab&
Araçu	,a*as'u
Araçuaí	,a*as,ua'i
Araçá	,a*as'a
Araújo	,a*a'uZU
Araújos	,a*a'uZUs
Arca	'a*@-k&
Arcado	,a*@-k'adU
Arcanjo	,a*@-k'&~NZU
Arceburgo	,a*@-seb'u*@-gU
Archer	a*@-S'er
Arco	'a*@-kU
Arcos	'a*@-kUs
Arcoverde	,a*@-kov'e*@-dZy
Areado	,a*e'adU
Areal	,a*e'aU
Arealva	,a*e'aUv&
Areia	,a*'eI;&
Areial	,a*eI;'aU
Areias	,a*'eI;&s
