Altônia	ˌaʊtˈonjæ
Alumínio	ˌalumˈinjʊ
Alvarenga	ˌaʊvaɾˈeɪŋɡæ
Alvarães	ˌaʊvaɾˈɐ̃ys
Alves	ˈaʊvys
Alvinlândia	ˌaʊviŋlˈɐ̃ŋdʒjæ
Alvinópolis	ˌaʊvinˈɔpolis
Alvorada	ˌaʊvoɾˈadæ
Alá	alˈa
Além	alˈeɪŋ
Amadeu	ˌæmadˈeʊ
Amajari	ˌæmaʒaɾˈi
Amalie	ˌæmalˈiy
Amambaí	ˌæmɐ̃mbaˈi
Amaparí	ˌæmapaɾˈi
Amaporã	ˌæmapoɾˈɐ̃
Amapá	ˌæmapˈa
Amaraji	ˌæmaɾaʒˈi
Amaral	ˌæmaɾˈaʊ
Amaralina	ˌæmaɾalˈinæ
Amarante	ˌæmaɾˈɐ̃ŋtʃy
Amargosa	ˌæmaɾəɡˈɔzæ
Amaro	ˌæmˈaɾʊ
Amaturá	ˌæmatuɾˈa
Amazonas	ˌæmazˈonæs
Amazônia	ˌæmazˈonjæ
Ambrósio	ˌɐ̃mbrˈɔzjʊ
Americana	ˌæmeɾikˈɐ̃næ
Americano	ˌæmeɾikˈɐ̃nʊ
Ametista	ˌæmetʃˈistæ
Amontada	ˌæmoŋtˈadæ
Amoreira	ˌæmoɾˈeɪɾæ
Amorinópolis	ˌæmoɾinˈɔpolis
Amparo	ˌɐ̃mpˈaɾʊ
Ampére	ˌɐ̃mpˈɛɾy
Amsterdã	ˌɐ̃msteɾədˈɐ̃
Amália	ˌæmˈaljæ
Amã	ɐ̃mˈɐ̃
Amélia	ˌæmˈɛljæ
América	ˌæmˈɛɾikæ
Américas	ˌæmˈɛɾikæs
Américo	ˌæmˈɛɾikʊ
Ana	ˈɐ̃næ
Anadia	ˌænadʒˈiæ
Anagé	ˌænaʒˈɛ
Anahy	ˌænˈai
Anajatuba	ˌænaʒatˈubæ
Anajás	ˌænaʒˈas
Analândia	ˌænalˈɐ̃ŋdʒjæ
Anamã	ˌænɐ̃mˈɐ̃
Ananias	ˌænænˈiæs
Ananindeua	ˌænæniŋdˈeʊæ
Ananás	ˌænɐ̃nˈas
Anapu	ˌænapˈu
Anapurus	ˌænapuɾˈus
Anari	ˌænaɾˈi
Anastácia	ˌænastˈasjæ
Anastácio	ˌænastˈasjʊ
Anatólia	ˌænatˈɔljæ
Anaurilândia	ˌænaʊɾilˈɐ̃ŋdʒjæ
Anaxágoras	ˌænaʃˈaɡoɾæs
Ancara	ˌɐ̃ŋkˈaɾæ
Anchieta	ˌɐ̃ŋʃiˈetæ
Andaluzia	ˌɐ̃ŋdaluzˈiæ
Andaraí	ˌɐ̃ŋdaɾaˈi
Andirá	ˌɐ̃ŋdʒiɾˈa
Andorinha	ˌɐ̃ŋdoɾˈiɲæ
Andorra	ˌɐ̃ŋdˈoxæ
Andradas	ˌɐ̃ŋdrˈadæs
Andrade	ˌɐ̃ŋdrˈadʒy
Andradina	ˌɐ̃ŋdradʒˈinæ
Andreazza	ˌɐ̃ŋdreˈazæ
Andrelândia	ˌɐ̃ŋdrelˈɐ̃ŋdʒjæ
