
//
// Conversão de ortografia em transcrição fonética, baseada em divisão silábica e expressão regular.
//
// Este é um exemplo de TSV que contém exatamente quatro campos, F1 a F4.
//
// F1: expressão regular da sílaba anterior
// F2: expressão regular da sílaba atual
// F3: expressão regular da sílaba posterior
// F4: a tradução da sílaba atual usando caracteres Kirshenbaum (influencia do espeak-ng), que serão no final ser convertidos em caracteres IPA ou SAMPA.
//
// Todo texto numa lina após duas barras é considerado um comentário e é, portanto, ignorado.
//
// Recomenda-se que os parágrafos tenham larguras equivalentes a 8 espaços.
//
// Se o F1 for "%", verifica se a sílaba atual é pós-tônica
// Se o F3 for "%", verifica se a sílaba atual é pré-tônica
//
// Se o F1 for "_", verifica se a sílaba atual é início de palavra
// Se o F3 for "_", verifica se a sílaba atual é fim de palavra
//
// Stress symbol `'` should be placed in the beginning of the syllable, not in the middle of the it (close to the vowel).
//
//
// Este arquivo inclui os ditongos crescentes pós-tônicos finais como: bac.té.ria, ci.ên.cia e á.guia, característicos da fala rápida. Nesses casos, evitar usar I ou U, por exemplo, em bac.té.ria, usar [4i6] em vez de [4I6], para causar dar uma sensação de hiato. No entanto, pode ser necessário atualizar as vozes mbrola.
//
// References:
//* https://pt.wiktionary.org/wiki/Ajuda:Guia_de_pron%C3%BAncia/Portugu%C3%AAs
//

	bron		b4o~
	bron	_	'b4o~

	brôn		'b4o~

	brou		b4oU
	brou	_	'b4oU

	bru		b4u
	bru	_	'b4u

	bu		bu
	bu	_	'bu

	bú		bu

	bui		buI

	bul		buU	// bul.bo, bul.do.gue

	bun		bu~
	bun	_	'bu~

	bum		bu~	// bum.bo
	bum	_	'bu~	// bum.bum

	bur		bu4
	bur	_	'bu4
	bur	^r	bu

	bus		bus
	bus	_	'bus
	bus	^s	bu

	bús	^s	'bu

	ca		ka
	ca	_	k6

	cá		'ka

	câ		'c6

	ça		sa
	ça	_	s6

	çá		'sa

	cai		kaI

	cãi		'k6~I

	çai		saI

	cais		kaIs

	çais		saIs

	cal		kaU	// cal.ça.do, cal.cá.ri.o
	cal	_	'kaU	// do.mi.ni.cal, an.ge.li.cal

	cál		'kaU	// cál.ci.o

	çal		'saU	// la.ma.çal

	cam		k6~
	cam	_	k6~U

	câm		'k6~

	çam		s6~
	çam	_	s6~U

	can		k6~

	cân		'k6~

	çan		s6~

	cã	_	'k6~	// pecã, cancã
_	cã	_	'k6~	// cã

	cão		k6~U	// cão.zi.nho
	cão	_	'k6~U

	ção		's6~U	// são.ma.ra.nhen.se
%	ção	_	s6~U

	cap		kap

	cáp		'kap

	car		ka4
	car	_	'ka4
	car	^r	ka

	cár		'ka4	// es.cár.ni.o

	çar		sa4
	çar	_	'sa4
	çar	^r	sa

	cas		kas
	cas	_	'k6s
	cas	^s	ka

	cás		'kas
	cás	^s	'ka

	ças		sas
	ças	_	'sas
	ças	^s	sa

	çás		'sas
	çás	^s	'sa

	cau		kaU
	cau	_	'kaU

	ce		se
	ce	_	sI

	cé		'sE

	cê		'se

	cei		seI
	cei	_	'seI

	ceis		seIs

	cel		seU
	cel	_	'sEU

	cem		se~
	cém		'se~I

	cen		se~
	cen	_	'se~

	cên		'se~

	cep		sep
	ceps		seps

%	ceo	_	siU	// crus.tá.ceo

	cer		se4
	cer	_	'se4
	cer	^r	se

	ces		ses
	ces	_	sIs
	ces	^s	se

	cês		'ses
	cês	^s	'se

	ceu		seU
	ceu	_	'seU

_	ceu	_	sEU	// céu

	céu		'sEU	// es.car.céu

	cha		Sa
	cha	_	S6

	chá		'Sa

	chai		SaI
	chai	_	'Sai

	chais		Sais
	chais	_	'Sais

	cham		S6~
	cham	_	S6~U

	chan		S6~

	chão	_	'S6~U

	char		Sa4
	char	_	'Sa4
	char	^r	Sa

	chas		Sas
	chas	_	S6s
	chas	^s	Sa

	chás		'Sas

	che		Se
	che	_	SI

	chê		'Se	// ca.chê

	chei		SeI
	chei	_	'SeI

	cheis		SeIs
	cheis	_	'SeIs

	chem		Se~
	chem	_	Se~I

	chen		Se~
	chen	_	'Se~I

	cher	_	'Se4

	ches		Ses
	ches	_	SIs
	ches	^s	Se

	chi		Si
	chi	_	'Si

	chil		SiU
	chil	_	'SiU

	chim		Si~
	chim	_	'Si~

	chin		Si~
	chin	_	'Si~

	chis		Sis	// chis.par

	cho		So
	cho	_	SU

	chó		'SO	// bre.chó

	chor	^r	So	// ca.chor.ro

	chos		So
	chos	_	SUs	// pe.tre.chos

	chós		'SOs	// bre.chós

	chou		SoU

	chu		Su
	chu	_	'Su

	chu		Su
	chu	_	'Su

	chum		Su~	// chum.bo

	chur	^r	Su	// chur.ras.co

	chus		Sus	// chus.ma

	ci		si
	ci	_	'si

%	cia	_	si6	// ci.ên.cia, a.de.rên.cia

%	cie	_	siI	// es.pé.cie, pla.ní.cie, i.mun.dí.cie

	cí		'si

	cil		sil	// po.cil.ga
	cil	_	'siU	// im.be.cil
