801,0.0004,"arcangela"
801,0.0004,"noelio"
819,0.0004,"tenorio"
823,0.0004,"tarcisia"
831,0.0005,"quiterio"
882,0.0005,"egidia"
884,0.0005,"tiburcio"
890,0.0005,"hilaria"
899,0.0005,"teofila"
910,0.0005,"laurencio"
917,0.0005,"constancio"
942,0.0005,"francilio"
945,0.0005,"ubirata"
963,0.0005,"araujo"
984,0.0005,"eulalio"
992,0.0005,"cesaria"
998,0.0005,"satiro"
998,0.0005,"victorio"
1006,0.0005,"arsenio"
1006,0.0005,"arsenio"
1032,0.0006,"waldo"
1043,0.0006,"domenico"
1043,0.0006,"domenico"
1094,0.0006,"persio"
1103,0.0006,"vladia"
1109,0.0006,"hortencio"
1114,0.0006,"basilia"
1118,0.0006,"barnabe"
1137,0.0006,"militao"
1137,0.0006,"virgilia"
1144,0.0006,"venancia"
1163,0.0006,"tomasia"
1215,0.0007,"eufrasia"
1223,0.0007,"kilvia"
1252,0.0007,"porfirio"
1264,0.0007,"tercia"
1285,0.0007,"luciola"
1317,0.0007,"lourenca"
1367,0.0007,"cornelia"
1369,0.0007,"domenica"
1369,0.0007,"domenica"
1374,0.0008,"sansao"
1390,0.0008,"brasilia"
1413,0.0008,"sergia"
1429,0.0008,"encarnacao"
1477,0.0008,"esau"
1501,0.0008,"simplicio"
1502,0.0008,"estacio"
1523,0.0008,"savia"
1546,0.0008,"urania"
1558,0.0009,"virginio"
1563,0.0009,"kelvia"
1564,0.0009,"teotonio"
1565,0.0009,"verissimo"
1573,0.0009,"wando"
1582,0.0009,"danubio"
1589,0.0009,"matusalem"
1600,0.0009,"penelope"
1604,0.0009,"sostenes"
1660,0.0009,"tiberio"
1666,0.0009,"mucio"
1696,0.0009,"simeao"
1701,0.0009,"salvio"
1745,0.0010,"gastao"
1791,0.0010,"gregoria"
1803,0.0010,"natalio"
1807,0.0010,"inocencia"
1810,0.0010,"teo"
1819,0.0010,"lupercio"
1834,0.0010,"kecia"
1854,0.0010,"lucilio"
1867,0.0010,"goncalves"
1879,0.0010,"hipolito"
1880,0.0010,"tacia"
1899,0.0010,"socrates"
1913,0.0010,"demetrius"
1953,0.0011,"florencia"
1962,0.0011,"amilcar"
1982,0.0011,"lelio"
2004,0.0011,"henriqueta"
2065,0.0011,"januaria"
2155,0.0012,"efigenio"
2186,0.0012,"arnobio"
2202,0.0012,"paolo"
2223,0.0012,"eufrasio"
2264,0.0012,"assuncao"
2299,0.0013,"adonis"
2379,0.0013,"amelio"
2402,0.0013,"apolinario"
2415,0.0013,"zelio"
2420,0.0013,"uelinton"
2427,0.0013,"lucelio"
2483,0.0014,"inocencio"
2526,0.0014,"euridice"
2545,0.0014,"apolonia"
2545,0.0014,"apolonia"
2572,0.0014,"silveria"
2603,0.0014,"eusebio"
2628,0.0014,"fidelis"
2635,0.0014,"apolonio"
2635,0.0014,"apolonio"
2656,0.0015,"acacia"
2706,0.0015,"clauber"
2745,0.0015,"otavia"
2746,0.0015,"narcisio"
2915,0.0016,"epitacio"
2918,0.0016,"melania"
2957,0.0016,"genesia"
2959,0.0016,"livio"
2993,0.0016,"petrucio"
3090,0.0017,"arao"
3100,0.0017,"timoteo"
3168,0.0017,"estefano"
3176,0.0017,"lirio"
