$ paste ~/mini.a.txt ~/mini.b.txt | awk '{ print $1, $2, $4}'

miniatura	mˌiniʲatˈuɾɐ	mˌiniʲˌatˈuɾɐ
minicomputador	mˌinikˌõmputadˈoɾ	mˌinikˌõmputadˈoɾ
minicomputadores	mˌinikˌõmputadˈoɾɪs	mˌinikˌõmputadˈoɾɪs
minifúndio	mˌinifˈũndʒjʊ	mˌinifˈũndʒjʊ
minifúndios	mˌinifˈũndʒjʊs	mˌinifˈũndʒjʊs
minimais	mˌinimˈaɪs	mˌinimˈaɪs
minimal	mˌinimˈaʊ	mˌinimˈaʊ
minimalidade	mˌinimˌalidˈadʒɪ	mˌinimˌalidˈadʒɪ
minimalidades	mˌinimˌalidˈadʒɪs	mˌinimˌalidˈadʒɪs
minimalista	mˌinimalˈistɐ	mˌinimalˈistɐ
minimalistas	mˌinimalˈistɐs	mˌinimˌalˈistɐs
minimamente	mˌinimɐmˈeɪntʃɪ	mˌinimɐmˈeɪntʃɪ
minimidade	mˌinimidˈadʒɪ	mˌinimˌidˈadʒɪ
minimidades	mˌinimidˈadʒɪs	mˌinimˌidˈadʒɪs
minimiza	mˌinimˈizɐ	mˌinimˈizɐ
minimizá	mˌinimizˈa	mˌinimizˈa
minimização	mˌinimˌizasˈɐ̃ʊ̃	mˌinimˌizasˈɐ̃ʊ̃
minimizações	mˌinimˌizasˈõɪ̃s	mˌinimˌizasˈõɪ̃s
minimizada	mˌinimizˈadɐ	mˌinimˌizˈadɐ
minimizadas	mˌinimizˈadɐs	mˌinimˌizˈadɐs
minimizado	mˌinimizˈadʊ	mˌinimˌizˈadʊ
minimizados	mˌinimizˈadʊs	mˌinimˌizˈadʊs
minimizai	mˌinimizˈaɪ	mˌinimizˈaɪ
minimizais	mˌinimizˈaɪs	mˌinimizˈaɪs
minimizam	mˌinimˈizɐ̃ʊ̃	mˌinimˈizɐ̃ʊ̃
minimizamo	mˌinimizˈɐ̃mʊ	mˌinimˌizˈɐ̃mʊ
minimizamos	mˌinimizˈɐ̃mʊs	mˌinimˌizˈɐ̃mʊs
minimizámos	mˌinimizˈamʊs	mˌinimˌizˈamʊs
minimizando	mˌinimizˈɐ̃ndʊ	mˌinimˌizˈɐ̃ndʊ
